epoch 1, training...
batch No.381, time cost : 5.358503580093384, loss is : 2.3025368775173702
batch No.382, time cost : 5.372824430465698, loss is : 2.3022972509552346
batch No.383, time cost : 5.367116928100586, loss is : 2.302228607895817
batch No.384, time cost : 5.395998477935791, loss is : 2.3026661351044035
batch No.385, time cost : 5.455920457839966, loss is : 2.302657131766585
batch No.386, time cost : 5.292851209640503, loss is : 2.3025075309318797
batch No.387, time cost : 5.374660015106201, loss is : 2.302676426092943
batch No.388, time cost : 5.370326519012451, loss is : 2.3024642505558424
batch No.389, time cost : 5.344610691070557, loss is : 2.302390464032402
batch No.390, time cost : 5.389190673828125, loss is : 2.3026846620337618
batch No.391, time cost : 5.376877069473267, loss is : 2.3026229196223906
batch No.392, time cost : 5.385962724685669, loss is : 2.3025848811445333
batch No.393, time cost : 5.32020115852356, loss is : 2.3024282550122575
batch No.394, time cost : 5.3506081104278564, loss is : 2.302757072233474
batch No.395, time cost : 5.3724892139434814, loss is : 2.302473245081133
batch No.396, time cost : 5.345342397689819, loss is : 2.3026226958168765
batch No.397, time cost : 5.35511040687561, loss is : 2.302537781788697
batch No.398, time cost : 5.359527826309204, loss is : 2.302514638522841
batch No.399, time cost : 5.38765811920166, loss is : 2.3025133092202723
batch No.400, time cost : 5.360706567764282, loss is : 2.3024516704458184
batch No.401, time cost : 5.345910310745239, loss is : 2.3023837165719456
batch No.402, time cost : 5.367595672607422, loss is : 2.3023536095143156
batch No.403, time cost : 5.354308366775513, loss is : 2.3025283491815376
batch No.404, time cost : 5.362382411956787, loss is : 2.3025619875970933
batch No.405, time cost : 5.358900785446167, loss is : 2.302809043578621
batch No.406, time cost : 5.374482870101929, loss is : 2.302381360144431
batch No.407, time cost : 5.3725056648254395, loss is : 2.3027572146741377
batch No.408, time cost : 5.355809211730957, loss is : 2.3026318039397085
batch No.409, time cost : 5.345583200454712, loss is : 2.3024641405511295
batch No.410, time cost : 5.361879348754883, loss is : 2.302454302079312
batch No.411, time cost : 5.343085289001465, loss is : 2.302660595213407
batch No.412, time cost : 5.386675834655762, loss is : 2.302481569301168
batch No.413, time cost : 5.357690334320068, loss is : 2.302416662241689
batch No.414, time cost : 5.358752489089966, loss is : 2.3028795943604905
batch No.415, time cost : 5.372645616531372, loss is : 2.3023796347735708
batch No.416, time cost : 5.382733345031738, loss is : 2.3023296976028167
batch No.417, time cost : 5.365576505661011, loss is : 2.302687842556102
batch No.418, time cost : 5.3723132610321045, loss is : 2.302617098578014
batch No.419, time cost : 5.377793550491333, loss is : 2.30236909520462
batch No.420, time cost : 5.402435064315796, loss is : 2.3022418930045787
batch No.421, time cost : 5.4196391105651855, loss is : 2.302944554848315
batch No.422, time cost : 5.3859922885894775, loss is : 2.3020896541632627
batch No.423, time cost : 5.364157199859619, loss is : 2.3024193040480494
batch No.424, time cost : 5.3912389278411865, loss is : 2.3029024588219746
batch No.425, time cost : 5.3693156242370605, loss is : 2.302303143701029
batch No.426, time cost : 5.347737550735474, loss is : 2.3027504007311057
batch No.427, time cost : 5.399869918823242, loss is : 2.302907397758324
